ATTENDANCE,GAMECODE,GAME_DATE,GAME_DATE_EST,GAME_ID,GAME_SEQUENCE,GAME_STATUS_ID,GAME_STATUS_TEXT,GAME_TIME,HOME_TEAM_ID,LIVE_PC_TIME,LIVE_PERIOD,LIVE_PERIOD_TIME_BCAST,NATL_TV_BROADCASTER_ABBREVIATION,SEASON,VISITOR_TEAM_ID,WH_STATUS
19763,20111225/BOSNYK,"SUNDAY, DECEMBER 25, 2011",2011-12-25T00:00:00,21100001,1,3,Final,2:48,1610612752, ,4,Q4   - TNT,TNT,2011,1610612738,1
20421,20111225/MIADAL,"SUNDAY, DECEMBER 25, 2011",2011-12-25T00:00:00,21100002,2,3,Final,2:44,1610612742, ,4,Q4   - ABC,ABC,2011,1610612748,1
18997,20111225/CHILAL,"SUNDAY, DECEMBER 25, 2011",2011-12-25T00:00:00,21100003,3,3,Final,2:34,1610612747, ,4,Q4   - ABC,ABC,2011,1610612741,1
18203,20111225/ORLOKC,"SUNDAY, DECEMBER 25, 2011",2011-12-25T00:00:00,21100004,4,3,Final,2:27,1610612760, ,4,Q4   - ESPN,ESPN,2011,1610612753,1
19596,20111225/LACGSW,"SUNDAY, DECEMBER 25, 2011",2011-12-25T00:00:00,21100005,5,3,Final,2:33,1610612744, ,4,Q4   - ESPN,ESPN,2011,1610612746,1
17102,20111226/NJNWAS,"MONDAY, DECEMBER 26, 2011",2011-12-26T00:00:00,21100006,1,3,Final,2:20,1610612764, ,4,Q4   - ,,2011,1610612751,1
17173,20111226/MILCHA,"MONDAY, DECEMBER 26, 2011",2011-12-26T00:00:00,21100007,2,3,Final,2:19,1610612766, ,4,Q4   - ,,2011,1610612749,1
18846,20111226/HOUORL,"MONDAY, DECEMBER 26, 2011",2011-12-26T00:00:00,21100008,3,3,Final,2:04,1610612753, ,4,Q4   - NBA TV,NBA TV,2011,1610612745,1
20562,20111226/TORCLE,"MONDAY, DECEMBER 26, 2011",2011-12-26T00:00:00,21100009,4,3,Final,2:08,1610612739, ,4,Q4   - ,,2011,1610612761,1
18165,20111226/DETIND,"MONDAY, DECEMBER 26, 2011",2011-12-26T00:00:00,21100010,5,3,Final,2:13,1610612754, ,4,Q4   - ,,2011,1610612765,1
19406,20111226/OKCMIN,"MONDAY, DECEMBER 26, 2011",2011-12-26T00:00:00,21100011,6,3,Final,2:19,1610612750, ,4,Q4   - ,,2011,1610612760,1
20408,20111226/DENDAL,"MONDAY, DECEMBER 26, 2011",2011-12-26T00:00:00,21100012,7,3,Final,2:13,1610612742, ,4,Q4   - ,,2011,1610612743,1
18581,20111226/MEMSAS,"MONDAY, DECEMBER 26, 2011",2011-12-26T00:00:00,21100013,8,3,Final,2:15,1610612759, ,4,Q4   - ,,2011,1610612763,1
17776,20111226/NOHPHX,"MONDAY, DECEMBER 26, 2011",2011-12-26T00:00:00,21100014,9,3,Final,2:20,1610612756, ,4,Q4   - ,,2011,1610612740,1
17317,20111226/LALSAC,"MONDAY, DECEMBER 26, 2011",2011-12-26T00:00:00,21100015,10,3,Final,2:20,1610612758, ,4,Q4   - NBA TV,NBA TV,2011,1610612747,1
20509,20111226/PHIPOR,"MONDAY, DECEMBER 26, 2011",2011-12-26T00:00:00,21100016,11,3,Final,2:21,1610612757, ,4,Q4   - ,,2011,1610612755,1
19596,20111226/CHIGSW,"MONDAY, DECEMBER 26, 2011",2011-12-26T00:00:00,21100017,12,3,Final,2:18,1610612744, ,4,Q4   - ,,2011,1610612741,1
18711,20111227/ATLNJN,"TUESDAY, DECEMBER 27, 2011",2011-12-27T00:00:00,21100018,1,3,Final,2:07,1610612751, ,4,Q4   - ,,2011,1610612737,1
20166,20111227/BOSMIA,"TUESDAY, DECEMBER 27, 2011",2011-12-27T00:00:00,21100019,2,3,Final,2:45,1610612748, ,4,Q4   - TNT,TNT,2011,1610612738,1
17352,20111227/MINMIL,"TUESDAY, DECEMBER 27, 2011",2011-12-27T00:00:00,21100020,3,3,Final,2:16,1610612749, ,4,Q4   - ,,2011,1610612750,1
20350,20111227/SACPOR,"TUESDAY, DECEMBER 27, 2011",2011-12-27T00:00:00,21100021,4,3,Final,2:15,1610612757, ,4,Q4   - ,,2011,1610612758,1
18997,20111227/UTALAL,"TUESDAY, DECEMBER 27, 2011",2011-12-27T00:00:00,21100022,5,3,Final,2:25,1610612747, ,4,Q4   - TNT,TNT,2011,1610612762,1
19800,20111228/INDTOR,"WEDNESDAY, DECEMBER 28, 2011",2011-12-28T00:00:00,21100023,1,3,Final,2:17,1610612761, ,4,Q4   - ,,2011,1610612754,1
19614,20111228/MIACHA,"WEDNESDAY, DECEMBER 28, 2011",2011-12-28T00:00:00,21100024,2,3,Final,2:17,1610612766, ,4,Q4   - ,,2011,1610612748,1
17750,20111228/WASATL,"WEDNESDAY, DECEMBER 28, 2011",2011-12-28T00:00:00,21100025,3,3,Final,2:14,1610612737, ,4,Q4   - ,,2011,1610612764,1
22076,20111228/CLEDET,"WEDNESDAY, DECEMBER 28, 2011",2011-12-28T00:00:00,21100026,4,3,Final,2:22,1610612765, ,4,Q4   - ,,2011,1610612739,1
18119,20111228/OKCMEM,"WEDNESDAY, DECEMBER 28, 2011",2011-12-28T00:00:00,21100027,5,3,Final,2:33,1610612763, ,4,Q4   - NBA TV,NBA TV,2011,1610612760,1
17802,20111228/BOSNOH,"WEDNESDAY, DECEMBER 28, 2011",2011-12-28T00:00:00,21100028,6,3,Final,2:17,1610612740, ,4,Q4   - ,,2011,1610612738,1
18581,20111228/LACSAS,"WEDNESDAY, DECEMBER 28, 2011",2011-12-28T00:00:00,21100029,7,3,Final,2:15,1610612759, ,4,Q4   - ,,2011,1610612746,1
