GAMECODE,GAME_DATE_EST,GAME_ID,GAME_SEQUENCE,GAME_STATUS_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,LIVE_PC_TIME,LIVE_PERIOD,LIVE_PERIOD_TIME_BCAST,NATL_TV_BROADCASTER_ABBREVIATION,SEASON,VISITOR_TEAM_ID,WH_STATUS,ATTENDANCE,GAME_DATE,GAME_TIME
20191022/NOPTOR,2019-10-22T00:00:00,21900001,1,3,Final,1610612761,     ,5,Q5       - TNT,TNT,2019,1610612740,1,20787,"TUESDAY, OCTOBER 22, 2019",2:50
20191022/LALLAC,2019-10-22T00:00:00,21900002,2,3,Final,1610612746,     ,4,Q4       - TNT,TNT,2019,1610612747,1,19068,"TUESDAY, OCTOBER 22, 2019",2:28
20191023/CHICHA,2019-10-23T00:00:00,21900003,1,3,Final,1610612766,     ,4,Q4       - ,,2019,1610612741,1,15424,"WEDNESDAY, OCTOBER 23, 2019",2:12
20191023/DETIND,2019-10-23T00:00:00,21900004,2,3,Final,1610612754,     ,4,Q4       - ,,2019,1610612765,1,17923,"WEDNESDAY, OCTOBER 23, 2019",2:22
20191023/CLEORL,2019-10-23T00:00:00,21900005,3,3,Final,1610612753,     ,4,Q4       - ,,2019,1610612739,1,18846,"WEDNESDAY, OCTOBER 23, 2019",2:02
20191023/MINBKN,2019-10-23T00:00:00,21900006,4,3,Final,1610612751,     ,5,Q5       - ,,2019,1610612750,1,17732,"WEDNESDAY, OCTOBER 23, 2019",2:34
20191023/MEMMIA,2019-10-23T00:00:00,21900007,5,3,Final,1610612748,     ,4,Q4       - ,,2019,1610612763,1,19600,"WEDNESDAY, OCTOBER 23, 2019",2:28
20191023/BOSPHI,2019-10-23T00:00:00,21900008,6,3,Final,1610612755,     ,4,Q4       - ESPN,ESPN,2019,1610612738,1,20422,"WEDNESDAY, OCTOBER 23, 2019",2:33
20191023/WASDAL,2019-10-23T00:00:00,21900009,7,3,Final,1610612742,     ,4,Q4       - ,,2019,1610612764,1,19816,"WEDNESDAY, OCTOBER 23, 2019",2:25
20191023/NYKSAS,2019-10-23T00:00:00,21900010,8,3,Final,1610612759,     ,4,Q4       - ,,2019,1610612752,1,18354,"WEDNESDAY, OCTOBER 23, 2019",2:15
20191023/OKCUTA,2019-10-23T00:00:00,21900011,9,3,Final,1610612762,     ,4,Q4       - ,,2019,1610612760,1,18306,"WEDNESDAY, OCTOBER 23, 2019",2:24
20191023/SACPHX,2019-10-23T00:00:00,21900012,10,3,Final,1610612756,     ,4,Q4       - ,,2019,1610612758,1,18055,"WEDNESDAY, OCTOBER 23, 2019",2:19
20191023/DENPOR,2019-10-23T00:00:00,21900013,11,3,Final,1610612757,     ,4,Q4       - ESPN,ESPN,2019,1610612743,1,19991,"WEDNESDAY, OCTOBER 23, 2019",2:23
20191024/ATLDET,2019-10-24T00:00:00,21900014,1,3,Final,1610612765,     ,4,Q4       - ,,2019,1610612737,1,20338,"THURSDAY, OCTOBER 24, 2019",2:15
20191024/MILHOU,2019-10-24T00:00:00,21900015,2,3,Final,1610612745,     ,4,Q4       - TNT,TNT,2019,1610612749,1,18055,"THURSDAY, OCTOBER 24, 2019",2:25
20191024/LACGSW,2019-10-24T00:00:00,21900016,3,3,Final,1610612744,     ,4,Q4       - TNT,TNT,2019,1610612746,1,18064,"THURSDAY, OCTOBER 24, 2019",2:24
20191025/TORBOS,2019-10-25T00:00:00,21900017,1,3,Final,1610612738,     ,4,Q4       - ,,2019,1610612761,1,18624,"FRIDAY, OCTOBER 25, 2019",2:19
20191025/MINCHA,2019-10-25T00:00:00,21900018,2,3,Final,1610612766,     ,4,Q4       - ,,2019,1610612750,1,14879,"FRIDAY, OCTOBER 25, 2019",2:15
20191025/NYKBKN,2019-10-25T00:00:00,21900019,3,3,Final,1610612751,     ,4,Q4       - ,,2019,1610612752,1,17732,"FRIDAY, OCTOBER 25, 2019",2:33
20191025/CHIMEM,2019-10-25T00:00:00,21900020,4,3,Final,1610612763,     ,4,Q4       - ,,2019,1610612741,1,17794,"FRIDAY, OCTOBER 25, 2019",2:12
20191025/DALNOP,2019-10-25T00:00:00,21900021,5,3,Final,1610612740,     ,4,Q4       - ESPN,ESPN,2019,1610612742,1,17027,"FRIDAY, OCTOBER 25, 2019",2:23
20191025/WASOKC,2019-10-25T00:00:00,21900022,6,3,Final,1610612760,     ,4,Q4       - ,,2019,1610612764,1,18203,"FRIDAY, OCTOBER 25, 2019",2:06
