GAMECODE,GAME_DATE_EST,GAME_ID,GAME_SEQUENCE,GAME_STATUS_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,LIVE_PC_TIME,LIVE_PERIOD,LIVE_PERIOD_TIME_BCAST,NATL_TV_BROADCASTER_ABBREVIATION,SEASON,VISITOR_TEAM_ID,WH_STATUS,ATTENDANCE,GAME_DATE,GAME_TIME
19971031/CHIBOS,1997-10-31T00:00:00,0029700001,1,3,Final,1610612738, ,4,Q4   - ,,1997,1610612741,1,18624,"FRIDAY, OCTOBER 31, 1997",2:17
19971031/INDNJN,1997-10-31T00:00:00,0029700002,2,3,Final,1610612751, ,4,Q4   - ,,1997,1610612754,1,20049,"FRIDAY, OCTOBER 31, 1997",2:14
19971031/MILPHI,1997-10-31T00:00:00,0029700003,3,3,Final,1610612755, ,4,Q4   - ,,1997,1610612749,1,12199,"FRIDAY, OCTOBER 31, 1997",208:23
19971031/ATLORL,1997-10-31T00:00:00,0029700004,4,3,Final,1610612753, ,4,Q4   - ,,1997,1610612737,1,17248,"FRIDAY, OCTOBER 31, 1997",2:17
19971031/TORMIA,1997-10-31T00:00:00,0029700005,5,3,Final,1610612748, ,4,Q4   - ,,1997,1610612761,1,14795,"FRIDAY, OCTOBER 31, 1997",2:08
19971031/NYKCHH,1997-10-31T00:00:00,0029700006,6,3,Final,1610612766, ,4,Q4   - ,,1997,1610612752,1,24042,"FRIDAY, OCTOBER 31, 1997",2:30
19971031/WASDET,1997-10-31T00:00:00,0029700007,7,3,Final,1610612765, ,4,Q4   - ,,1997,1610612764,1,22076,"FRIDAY, OCTOBER 31, 1997",2:11
19971031/GSWMIN,1997-10-31T00:00:00,0029700008,8,3,Final,1610612750, ,4,Q4   - ,,1997,1610612744,1,16784,"FRIDAY, OCTOBER 31, 1997",2:03
19971031/CLEHOU,1997-10-31T00:00:00,0029700009,9,3,Final,1610612745, ,4,Q4   - ,,1997,1610612739,1,16285,"FRIDAY, OCTOBER 31, 1997",2:19
19971031/SASDEN,1997-10-31T00:00:00,0029700010,10,3,Final,1610612743, ,4,Q4   - ,,1997,1610612759,1,15031,"FRIDAY, OCTOBER 31, 1997",2:12
19971031/LACPHX,1997-10-31T00:00:00,0029700011,11,3,Final,1610612756, ,4,Q4   - ,,1997,1610612746,1,19023,"FRIDAY, OCTOBER 31, 1997",2:02
19971031/UTALAL,1997-10-31T00:00:00,0029700012,12,3,Final,1610612747, ,4,Q4   - ,,1997,1610612762,1,16234,"FRIDAY, OCTOBER 31, 1997",2:17
19971031/SEAPOR,1997-10-31T00:00:00,0029700013,13,3,Final,1610612757, ,4,Q4   - ,,1997,1610612760,1,21538,"FRIDAY, OCTOBER 31, 1997",2:11
19971031/DALVAN,1997-10-31T00:00:00,0029700014,14,3,Final,1610612763, ,4,Q4   - ,,1997,1610612742,1,17021,"FRIDAY, OCTOBER 31, 1997",2:29
19971101/MIAWAS,1997-11-01T00:00:00,0029700015,1,3,Final,1610612764, ,4,Q4   - ,,1997,1610612748,1,18281,"SATURDAY, NOVEMBER 1, 1997",2:43
19971101/TORATL,1997-11-01T00:00:00,0029700016,2,3,Final,1610612737, ,4,Q4   - ,,1997,1610612761,1,8539,"SATURDAY, NOVEMBER 1, 1997",2:05
19971101/GSWIND,1997-11-01T00:00:00,0029700017,3,3,Final,1610612754, ,4,Q4   - ,,1997,1610612744,1,16729,"SATURDAY, NOVEMBER 1, 1997",2:07
19971101/PHICHI,1997-11-01T00:00:00,0029700018,4,3,Final,1610612741, ,4,Q4   - ,,1997,1610612755,1,24196,"SATURDAY, NOVEMBER 1, 1997",1:60
19971101/NJNMIL,1997-11-01T00:00:00,0029700019,5,3,Final,1610612749, ,5,Q5   - ,,1997,1610612751,1,18717,"SATURDAY, NOVEMBER 1, 1997",2:41
19971101/CHHMIN,1997-11-01T00:00:00,0029700020,6,3,Final,1610612750, ,4,Q4   - ,,1997,1610612766,1,19006,"SATURDAY, NOVEMBER 1, 1997",2:01
19971101/CLESAS,1997-11-01T00:00:00,0029700021,7,3,Final,1610612759, ,4,Q4   - ,,1997,1610612739,1,24793,"SATURDAY, NOVEMBER 1, 1997",2:20
19971101/DENUTA,1997-11-01T00:00:00,0029700022,8,3,Final,1610612762, ,4,Q4   - ,,1997,1610612743,1,19911,"SATURDAY, NOVEMBER 1, 1997",2:08
19971101/PORLAC,1997-11-01T00:00:00,0029700023,9,3,Final,1610612746, ,4,Q4   - ,,1997,1610612757,1,12898,"SATURDAY, NOVEMBER 1, 1997",2:10
19971101/DALSEA,1997-11-01T00:00:00,0029700024,10,3,Final,1610612760, ,4,Q4   - ,,1997,1610612742,1,17072,"SATURDAY, NOVEMBER 1, 1997",2:17
19971101/SACVAN,1997-11-01T00:00:00,0029700025,11,3,Final,1610612763, ,4,Q4   - ,,1997,1610612758,1,15460,"SATURDAY, NOVEMBER 1, 1997",2:25
19971102/ORLBOS,1997-11-02T00:00:00,0029700026,1,3,Final,1610612738, ,4,Q4   - ,,1997,1610612753,1,17954,"SUNDAY, NOVEMBER 2, 1997",2:08
19971102/DETNYK,1997-11-02T00:00:00,0029700027,2,3,Final,1610612752, ,4,Q4   - ,,1997,1610612765,1,19763,"SUNDAY, NOVEMBER 2, 1997",2:15
19971102/HOUSAC,1997-11-02T00:00:00,0029700028,3,3,Final,1610612758, ,4,Q4   - ,,1997,1610612745,1,17317,"SUNDAY, NOVEMBER 2, 1997",1:58
19971103/CHHMIA,1997-11-03T00:00:00,0029700029,1,3,Final,1610612748, ,4,Q4   - ,,1997,1610612766,1,14587,"MONDAY, NOVEMBER 3, 1997",2:15
19971103/SASCHI,1997-11-03T00:00:00,0029700030,2,3,Final,1610612741, ,6,Q6   - ,,1997,1610612759,1,23868,"MONDAY, NOVEMBER 3, 1997",2:53
19971103/WASUTA,1997-11-03T00:00:00,0029700031,3,3,Final,1610612762, ,4,Q4   - ,,1997,1610612764,1,19911,"MONDAY, NOVEMBER 3, 1997",2:19
19971104/BOSNYK,1997-11-04T00:00:00,0029700032,1,3,Final,1610612752, ,4,Q4   - ,,1997,1610612738,1,19763,"TUESDAY, NOVEMBER 4, 1997",2:13
19971104/DETATL,1997-11-04T00:00:00,0029700033,2,3,Final,1610612737, ,4,Q4   - ,,1997,1610612765,1,13961,"TUESDAY, NOVEMBER 4, 1997",2:11
19971104/GSWTOR,1997-11-04T00:00:00,0029700034,3,3,Final,1610612761, ,4,Q4   - ,,1997,1610612744,1,16624,"TUESDAY, NOVEMBER 4, 1997",2:08
19971104/INDCLE,1997-11-04T00:00:00,0029700035,4,3,Final,1610612739, ,4,Q4   - ,,1997,1610612754,1,20132,"TUESDAY, NOVEMBER 4, 1997",2:04
19971104/ORLMIL,1997-11-04T00:00:00,0029700036,5,3,Final,1610612749, ,4,Q4   - ,,1997,1610612753,1,12764,"TUESDAY, NOVEMBER 4, 1997",2:00
19971104/VANDAL,1997-11-04T00:00:00,0029700037,6,3,Final,1610612742, ,4,Q4   - ,,1997,1610612763,1,14285,"TUESDAY, NOVEMBER 4, 1997",44:43
19971104/WASDEN,1997-11-04T00:00:00,0029700038,7,3,Final,1610612743, ,4,Q4   - ,,1997,1610612764,1,8104,"TUESDAY, NOVEMBER 4, 1997",2:09
19971104/UTAPHX,1997-11-04T00:00:00,0029700039,8,3,Final,1610612756, ,4,Q4   - ,,1997,1610612762,1,19023,"TUESDAY, NOVEMBER 4, 1997",2:09
19971104/LALSAC,1997-11-04T00:00:00,0029700040,9,3,Final,1610612758, ,4,Q4   - ,,1997,1610612747,1,17317,"TUESDAY, NOVEMBER 4, 1997",2:14
19971104/MINPOR,1997-11-04T00:00:00,0029700041,10,3,Final,1610612757, ,4,Q4   - ,,1997,1610612750,1,20158,"TUESDAY, NOVEMBER 4, 1997",2:15
19971104/HOUSEA,1997-11-04T00:00:00,0029700042,11,3,Final,1610612760, ,4,Q4   - ,,1997,1610612745,1,17072,"TUESDAY, NOVEMBER 4, 1997",2:07
19971105/MIABOS,1997-11-05T00:00:00,0029700043,1,3,Final,1610612738, ,4,Q4   - ,,1997,1610612748,1,16210,"WEDNESDAY, NOVEMBER 5, 1997",1:52
19971105/GSWNJN,1997-11-05T00:00:00,0029700044,2,3,Final,1610612751, ,4,Q4   - ,,1997,1610612744,1,12150,"WEDNESDAY, NOVEMBER 5, 1997",2:14
19971105/ATLPHI,1997-11-05T00:00:00,0029700045,3,3,Final,1610612755, ,4,Q4   - ,,1997,1610612737,1,13624,"WEDNESDAY, NOVEMBER 5, 1997",2:10
19971105/DALCHH,1997-11-05T00:00:00,0029700046,4,3,Final,1610612766, ,4,Q4   - ,,1997,1610612742,1,24042,"WEDNESDAY, NOVEMBER 5, 1997",2:14
19971105/INDDET,1997-11-05T00:00:00,0029700047,5,3,Final,1610612765, ,4,Q4   - ,,1997,1610612754,1,18241,"WEDNESDAY, NOVEMBER 5, 1997",2:03
19971105/ORLCHI,1997-11-05T00:00:00,0029700048,6,3,Final,1610612741, ,4,Q4   - ,,1997,1610612753,1,23809,"WEDNESDAY, NOVEMBER 5, 1997",2:13
19971105/VANSAS,1997-11-05T00:00:00,0029700049,7,3,Final,1610612759, ,4,Q4   - ,,1997,1610612763,1,14523,"WEDNESDAY, NOVEMBER 5, 1997",2:04
19971105/HOULAC,1997-11-05T00:00:00,0029700050,8,3,Final,1610612746, ,4,Q4   - ,,1997,1610612745,1,5859,"WEDNESDAY, NOVEMBER 5, 1997",2:04
19971106/SEATOR,1997-11-06T00:00:00,0029700051,1,3,Final,1610612761, ,4,Q4   - ,,1997,1610612760,1,15459,"THURSDAY, NOVEMBER 6, 1997",2:02
19971106/PHIMIL,1997-11-06T00:00:00,0029700052,2,3,Final,1610612749, ,4,Q4   - ,,1997,1610612755,1,13851,"THURSDAY, NOVEMBER 6, 1997",2:23
19971106/NYKPHX,1997-11-06T00:00:00,0029700053,3,3,Final,1610612756, ,4,Q4   - ,,1997,1610612752,1,19023,"THURSDAY, NOVEMBER 6, 1997",2:04
19971107/CLEBOS,1997-11-07T00:00:00,0029700054,1,3,Final,1610612738, ,4,Q4   - ,,1997,1610612739,1,16967,"FRIDAY, NOVEMBER 7, 1997",2:27
19971107/MIANJN,1997-11-07T00:00:00,0029700055,2,3,Final,1610612751, ,4,Q4   - ,,1997,1610612748,1,18231,"FRIDAY, NOVEMBER 7, 1997",2:16
19971107/CHHWAS,1997-11-07T00:00:00,0029700056,3,3,Final,1610612764, ,4,Q4   - ,,1997,1610612766,1,18756,"FRIDAY, NOVEMBER 7, 1997",2:10
19971107/CHIATL,1997-11-07T00:00:00,0029700057,4,3,Final,1610612737, ,4,Q4   - ,,1997,1610612741,1,45790,"FRIDAY, NOVEMBER 7, 1997",2:09
19971107/ORLDET,1997-11-07T00:00:00,0029700058,5,3,Final,1610612765, ,4,Q4   - ,,1997,1610612753,1,22076,"FRIDAY, NOVEMBER 7, 1997",2:17
19971107/SEAIND,1997-11-07T00:00:00,0029700059,6,3,Final,1610612754, ,4,Q4   - ,,1997,1610612760,1,15226,"FRIDAY, NOVEMBER 7, 1997",2:08
19971107/PORHOU,1997-11-07T00:00:00,0029700060,7,3,Final,1610612745, ,4,Q4   - ,,1997,1610612757,1,16285,"FRIDAY, NOVEMBER 7, 1997",2:12
19971107/UTADEN,1997-11-07T00:00:00,0029700061,8,3,Final,1610612743, ,4,Q4   - ,,1997,1610612762,1,10317,"FRIDAY, NOVEMBER 7, 1997",2:20
19971107/NYKLAL,1997-11-07T00:00:00,0029700062,9,3,Final,1610612747, ,4,Q4   - ,,1997,1610612752,1,17505,"FRIDAY, NOVEMBER 7, 1997",2:32
19971107/LACSAC,1997-11-07T00:00:00,0029700063,10,3,Final,1610612758, ,4,Q4   - ,,1997,1610612746,1,15858,"FRIDAY, NOVEMBER 7, 1997",2:05
19971107/MINVAN,1997-11-07T00:00:00,0029700064,11,3,Final,1610612763, ,4,Q4   - ,,1997,1610612750,1,15302,"FRIDAY, NOVEMBER 7, 1997",2:04
19971108/TORORL,1997-11-08T00:00:00,0029700065,1,3,Final,1610612753, ,4,Q4   - ,,1997,1610612761,1,17248,"SATURDAY, NOVEMBER 8, 1997",2:11
19971108/WASMIA,1997-11-08T00:00:00,0029700066,2,3,Final,1610612748, ,4,Q4   - ,,1997,1610612764,1,14859,"SATURDAY, NOVEMBER 8, 1997",2:11
19971108/INDCHH,1997-11-08T00:00:00,0029700067,3,3,Final,1610612766, ,4,Q4   - ,,1997,1610612754,1,24042,"SATURDAY, NOVEMBER 8, 1997",2:16
19971108/ATLCLE,1997-11-08T00:00:00,0029700068,4,3,Final,1610612739, ,5,Q5   - ,,1997,1610612737,1,14356,"SATURDAY, NOVEMBER 8, 1997",2:14
19971108/NJNCHI,1997-11-08T00:00:00,0029700069,5,3,Final,1610612741, ,4,Q4   - ,,1997,1610612751,1,23898,"SATURDAY, NOVEMBER 8, 1997",2:13
19971108/BOSMIL,1997-11-08T00:00:00,0029700070,6,3,Final,1610612749, ,4,Q4   - ,,1997,1610612738,1,17653,"SATURDAY, NOVEMBER 8, 1997",2:07
19971108/PORDAL,1997-11-08T00:00:00,0029700071,7,3,Final,1610612742, ,4,Q4   - ,,1997,1610612757,1,11162,"SATURDAY, NOVEMBER 8, 1997",4:02
19971108/UTASAS,1997-11-08T00:00:00,0029700072,8,3,Final,1610612759, ,4,Q4   - ,,1997,1610612762,1,19100,"SATURDAY, NOVEMBER 8, 1997",2:33
19971108/PHXLAC,1997-11-08T00:00:00,0029700073,9,3,Final,1610612746, ,4,Q4   - ,,1997,1610612756,1,12906,"SATURDAY, NOVEMBER 8, 1997",2:09
19971108/MINGSW,1997-11-08T00:00:00,0029700074,10,3,Final,1610612744, ,4,Q4   - ,,1997,1610612750,1,19283,"SATURDAY, NOVEMBER 8, 1997",2:11
19971109/SEAPHI,1997-11-09T00:00:00,0029700075,1,3,Final,1610612755, ,4,Q4   - ,,1997,1610612760,1,16457,"SUNDAY, NOVEMBER 9, 1997",2:09
19971109/GSWLAL,1997-11-09T00:00:00,0029700076,2,3,Final,1610612747, ,4,Q4   - ,,1997,1610612744,1,14623,"SUNDAY, NOVEMBER 9, 1997",2:12
19971109/NYKSAC,1997-11-09T00:00:00,0029700077,3,3,Final,1610612758, ,4,Q4   - ,,1997,1610612752,1,15046,"SUNDAY, NOVEMBER 9, 1997",2:11
19971109/DETVAN,1997-11-09T00:00:00,0029700078,4,3,Final,1610612763, ,5,Q5   - ,,1997,1610612765,1,14925,"SUNDAY, NOVEMBER 9, 1997",2:41
19971110/SASTOR,1997-11-10T00:00:00,0029700079,1,3,Final,1610612761, ,4,Q4   - ,,1997,1610612759,1,18174,"MONDAY, NOVEMBER 10, 1997",2:14
19971110/DETPOR,1997-11-10T00:00:00,0029700080,2,3,Final,1610612757, ,4,Q4   - ,,1997,1610612765,1,20411,"MONDAY, NOVEMBER 10, 1997",2:22
19971111/DENNYK,1997-11-11T00:00:00,0029700081,1,3,Final,1610612752, ,4,Q4   - ,,1997,1610612743,1,19763,"TUESDAY, NOVEMBER 11, 1997",2:11
19971111/SACMIA,1997-11-11T00:00:00,0029700082,2,3,Final,1610612748, ,4,Q4   - ,,1997,1610612758,1,14603,"TUESDAY, NOVEMBER 11, 1997",2:05
19971111/SEAATL,1997-11-11T00:00:00,0029700083,3,3,Final,1610612737, ,4,Q4   - ,,1997,1610612760,1,18122,"TUESDAY, NOVEMBER 11, 1997",2:03
19971111/CHICLE,1997-11-11T00:00:00,0029700084,4,3,Final,1610612739, ,4,Q4   - ,,1997,1610612741,1,20562,"TUESDAY, NOVEMBER 11, 1997",2:01
19971111/SASMIN,1997-11-11T00:00:00,0029700085,5,3,Final,1610612750, ,4,Q4   - ,,1997,1610612759,1,14593,"TUESDAY, NOVEMBER 11, 1997",2:19
19971111/LALDAL,1997-11-11T00:00:00,0029700086,6,3,Final,1610612742, ,4,Q4   - ,,1997,1610612747,1,13722,"TUESDAY, NOVEMBER 11, 1997",2:08
