GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,GAME_STATUS_ID,GAME_STATUS_TEXT,GAMECODE,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,LIVE_PERIOD,LIVE_PC_TIME,NATL_TV_BROADCASTER_ABBREVIATION,LIVE_PERIOD_TIME_BCAST,WH_STATUS,GAME_DATE,ATTENDANCE,GAME_TIME
2011-12-25T00:00:00,1,0021100001,3,Final,20111225/BOSNYK,1610612752,1610612738,2011,4, ,TNT,Q4   - TNT,1,"SUNDAY, DECEMBER 25, 2011",19763,2:48
2011-12-25T00:00:00,2,0021100002,3,Final,20111225/MIADAL,1610612742,1610612748,2011,4, ,ABC,Q4   - ABC,1,"SUNDAY, DECEMBER 25, 2011",20421,2:44
2011-12-25T00:00:00,3,0021100003,3,Final,20111225/CHILAL,1610612747,1610612741,2011,4, ,ABC,Q4   - ABC,1,"SUNDAY, DECEMBER 25, 2011",18997,2:34
2011-12-25T00:00:00,4,0021100004,3,Final,20111225/ORLOKC,1610612760,1610612753,2011,4, ,ESPN,Q4   - ESPN,1,"SUNDAY, DECEMBER 25, 2011",18203,2:27
2011-12-25T00:00:00,5,0021100005,3,Final,20111225/LACGSW,1610612744,1610612746,2011,4, ,ESPN,Q4   - ESPN,1,"SUNDAY, DECEMBER 25, 2011",19596,2:33
2011-12-26T00:00:00,1,0021100006,3,Final,20111226/NJNWAS,1610612764,1610612751,2011,4, ,,Q4   - ,1,"MONDAY, DECEMBER 26, 2011",17102,2:20
2011-12-26T00:00:00,2,0021100007,3,Final,20111226/MILCHA,1610612766,1610612749,2011,4, ,,Q4   - ,1,"MONDAY, DECEMBER 26, 2011",17173,2:19
2011-12-26T00:00:00,3,0021100008,3,Final,20111226/HOUORL,1610612753,1610612745,2011,4, ,NBA TV,Q4   - NBA TV,1,"MONDAY, DECEMBER 26, 2011",18846,2:04
2011-12-26T00:00:00,4,0021100009,3,Final,20111226/TORCLE,1610612739,1610612761,2011,4, ,,Q4   - ,1,"MONDAY, DECEMBER 26, 2011",20562,2:08
2011-12-26T00:00:00,5,0021100010,3,Final,20111226/DETIND,1610612754,1610612765,2011,4, ,,Q4   - ,1,"MONDAY, DECEMBER 26, 2011",18165,2:13
2011-12-26T00:00:00,6,0021100011,3,Final,20111226/OKCMIN,1610612750,1610612760,2011,4, ,,Q4   - ,1,"MONDAY, DECEMBER 26, 2011",19406,2:19
2011-12-26T00:00:00,7,0021100012,3,Final,20111226/DENDAL,1610612742,1610612743,2011,4, ,,Q4   - ,1,"MONDAY, DECEMBER 26, 2011",20408,2:13
2011-12-26T00:00:00,8,0021100013,3,Final,20111226/MEMSAS,1610612759,1610612763,2011,4, ,,Q4   - ,1,"MONDAY, DECEMBER 26, 2011",18581,2:15
2011-12-26T00:00:00,9,0021100014,3,Final,20111226/NOHPHX,1610612756,1610612740,2011,4, ,,Q4   - ,1,"MONDAY, DECEMBER 26, 2011",17776,2:20
2011-12-26T00:00:00,10,0021100015,3,Final,20111226/LALSAC,1610612758,1610612747,2011,4, ,NBA TV,Q4   - NBA TV,1,"MONDAY, DECEMBER 26, 2011",17317,2:20
