GAMECODE,GAME_ID,GAME_DATE,OFFICIAL_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM
19961108/CHIDET,0029600059,"FRIDAY, NOVEMBER 8, 1996",1153.0,Joe,Crawford,17
19961108/CHIDET,0029600059,"FRIDAY, NOVEMBER 8, 1996",1165.0,Luis,Grillo,8
19961108/CHIDET,0029600059,"FRIDAY, NOVEMBER 8, 1996",1140.0,Bruce,Alexander,9
19961116/MINNYK,0029600114,"SATURDAY, NOVEMBER 16, 1996",1202.0,Tommie,Wood,39
19961116/MINNYK,0029600114,"SATURDAY, NOVEMBER 16, 1996",1147.0,Mike,Callahan,24
19961116/MINNYK,0029600114,"SATURDAY, NOVEMBER 16, 1996",1142.0,Dick,Bavetta,27
19961116/UTADAL,0029600121,"SATURDAY, NOVEMBER 16, 1996",1146.0,Tony,Brothers,56
19961116/UTADAL,0029600121,"SATURDAY, NOVEMBER 16, 1996",1157.0,Terry,Durham,31
19961116/UTADAL,0029600121,"SATURDAY, NOVEMBER 16, 1996",1177.0,Ed,Middleton,18
19961119/NYKORL,0029600130,"TUESDAY, NOVEMBER 19, 1996",1152.0,Dan,Crawford,43
19961119/NYKORL,0029600130,"TUESDAY, NOVEMBER 19, 1996",1151.0,Sean,Corbin,64
19961119/NYKORL,0029600130,"TUESDAY, NOVEMBER 19, 1996",1144.0,Ted,Bernhardt,16
19961121/MINORL,0029600146,"THURSDAY, NOVEMBER 21, 1996",1182.0,Ronnie,Nunn,34
19961121/MINORL,0029600146,"THURSDAY, NOVEMBER 21, 1996",1194.0,Bill,Spooner,38
19961121/MINORL,0029600146,"THURSDAY, NOVEMBER 21, 1996",1145.0,Joe,Borgia,33
19961123/DETCHH,0029600161,"SATURDAY, NOVEMBER 23, 1996",1168.0,David,Jones,36
19961123/DETCHH,0029600161,"SATURDAY, NOVEMBER 23, 1996",1151.0,Sean,Corbin,64
19961127/ATLORL,0029600188,"WEDNESDAY, NOVEMBER 27, 1996",1165.0,Luis,Grillo,8
19961127/ATLORL,0029600188,"WEDNESDAY, NOVEMBER 27, 1996",1153.0,Joe,Crawford,17
19961127/ATLORL,0029600188,"WEDNESDAY, NOVEMBER 27, 1996",1186.0,Blane,Reichelt,37
19961130/ORLCLE,0029600213,"SATURDAY, NOVEMBER 30, 1996",1148.0,James,Capers,19
19961130/ORLCLE,0029600213,"SATURDAY, NOVEMBER 30, 1996",1167.0,Steve,Javie,29
19961130/ORLCLE,0029600213,"SATURDAY, NOVEMBER 30, 1996",1157.0,Terry,Durham,31
19961201/UTASEA,0029600221,"SUNDAY, DECEMBER 1, 1996",1199.0,Tom,Washington,49
19961201/UTASEA,0029600221,"SUNDAY, DECEMBER 1, 1996",1201.0,Leon,Wood,40
19961201/UTASEA,0029600221,"SUNDAY, DECEMBER 1, 1996",1158.0,Hugh,Evans,25
19961205/MINSEA,0029600247,"THURSDAY, DECEMBER 5, 1996",1146.0,Tony,Brothers,56
19961205/MINSEA,0029600247,"THURSDAY, DECEMBER 5, 1996",1192.0,Bennett,Salvatore,15
19961205/MINSEA,0029600247,"THURSDAY, DECEMBER 5, 1996",1157.0,Terry,Durham,31
19961206/NJNBOS,0029600248,"FRIDAY, DECEMBER 6, 1996",1158.0,Hugh,Evans,25
19961206/NJNBOS,0029600248,"FRIDAY, DECEMBER 6, 1996",1176.0,Monty,McCutchen,58
19961206/NJNBOS,0029600248,"FRIDAY, DECEMBER 6, 1996",1163.0,Bernie,Fryer,7
19961221/PORSAC,0029600365,"SATURDAY, DECEMBER 21, 1996",1199.0,Tom,Washington,49
19961221/PORSAC,0029600365,"SATURDAY, DECEMBER 21, 1996",1363.0,Bennie,Adams,47
19961221/PORSAC,0029600365,"SATURDAY, DECEMBER 21, 1996",1158.0,Hugh,Evans,25
19970211/VANHOU,0029600689,"TUESDAY, FEBRUARY 11, 1997",1163.0,Bernie,Fryer,07
19970211/VANHOU,0029600689,"TUESDAY, FEBRUARY 11, 1997",1199.0,Tom,Washington,49
19970221/HOUATL,0029600762,"FRIDAY, FEBRUARY 21, 1997",1190.0,Eddie,Rush,32
19970221/HOUATL,0029600762,"FRIDAY, FEBRUARY 21, 1997",1167.0,Steve,Javie,29
19970221/HOUATL,0029600762,"FRIDAY, FEBRUARY 21, 1997",1145.0,Joe,Borgia,33
19970221/VANLAL,0029600767,"FRIDAY, FEBRUARY 21, 1997",1144.0,Ted,Bernhardt,16
19970221/VANLAL,0029600767,"FRIDAY, FEBRUARY 21, 1997",1151.0,Sean,Corbin,64
19970221/VANLAL,0029600767,"FRIDAY, FEBRUARY 21, 1997",1164.0,Ron,Garretson,10
