GAMECODE,GAME_ID,GAME_DATE,OFFICIAL_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM
20011117/CLEMEM,0020100136,"SATURDAY, NOVEMBER 17, 2001",1198.0,Scott,Wall,60
20011117/CLEMEM,0020100136,"SATURDAY, NOVEMBER 17, 2001",1156.0,Tim,Donaghy,21
20011117/CLEMEM,0020100136,"SATURDAY, NOVEMBER 17, 2001",1144.0,Ted,Bernhardt,16
20011120/ATLIND,0020100148,"TUESDAY, NOVEMBER 20, 2001",1825.0,Mike,Mathis,13
20011120/ATLIND,0020100148,"TUESDAY, NOVEMBER 20, 2001",1154.0,Bob,Delaney,26
20011120/ATLIND,0020100148,"TUESDAY, NOVEMBER 20, 2001",1159.0,Kevin,Fehr,39
20011121/DETPHI,0020100155,"WEDNESDAY, NOVEMBER 21, 2001",2002.0,Derrick,Collins,54
20011121/DETPHI,0020100155,"WEDNESDAY, NOVEMBER 21, 2001",1146.0,Tony,Brothers,56
20011121/DETPHI,0020100155,"WEDNESDAY, NOVEMBER 21, 2001",1167.0,Steve,Javie,29
20011130/UTAPHX,0020100223,"FRIDAY, NOVEMBER 30, 2001",1152.0,Dan,Crawford,43
20011130/UTAPHX,0020100223,"FRIDAY, NOVEMBER 30, 2001",1827.0,George,Toliver,23
20011130/UTAPHX,0020100223,"FRIDAY, NOVEMBER 30, 2001",1197.0,Don,Vaden,12
20011206/MINMEM,0020100261,"THURSDAY, DECEMBER 6, 2001",1153.0,Joe,Crawford,17
20011206/MINMEM,0020100261,"THURSDAY, DECEMBER 6, 2001",1159.0,Kevin,Fehr,39
20011206/MINMEM,0020100261,"THURSDAY, DECEMBER 6, 2001",1165.0,Luis,Grillo,8
20011207/ATLORL,0020100269,"FRIDAY, DECEMBER 7, 2001",1168.0,David,Jones,36
20011207/ATLORL,0020100269,"FRIDAY, DECEMBER 7, 2001",1154.0,Bob,Delaney,26
20011207/ATLORL,0020100269,"FRIDAY, DECEMBER 7, 2001",1165.0,Luis,Grillo,8
20011208/PHIMEM,0020100279,"SATURDAY, DECEMBER 8, 2001",1161.0,Joe,Forte,45
20011208/PHIMEM,0020100279,"SATURDAY, DECEMBER 8, 2001",1197.0,Don,Vaden,12
20011208/PHIMEM,0020100279,"SATURDAY, DECEMBER 8, 2001",2003.0,Pat,Fraher,52
20011214/LACLAL,0020100320,"FRIDAY, DECEMBER 14, 2001",1204.0,Derek,Richardson,63
20011214/LACLAL,0020100320,"FRIDAY, DECEMBER 14, 2001",1167.0,Steve,Javie,29
20011214/LACLAL,0020100320,"FRIDAY, DECEMBER 14, 2001",1826.0,Jess,Kersey,20
20011222/WASNYK,0020100372,"SATURDAY, DECEMBER 22, 2001",1144.0,Ted,Bernhardt,16
20011222/WASNYK,0020100372,"SATURDAY, DECEMBER 22, 2001",1193.0,Michael,Smith,38
20011222/WASNYK,0020100372,"SATURDAY, DECEMBER 22, 2001",1195.0,Derrick,Stafford,9
20011226/INDORL,0020100390,"WEDNESDAY, DECEMBER 26, 2001",1662.0,Bill,Kennedy,55
20011226/INDORL,0020100390,"WEDNESDAY, DECEMBER 26, 2001",1167.0,Steve,Javie,29
20011226/INDORL,0020100390,"WEDNESDAY, DECEMBER 26, 2001",1150.0,Jimmy,Clark,6
20020103/DETHOU,0020100446,"THURSDAY, JANUARY 3, 2002",1176.0,Monty,McCutchen,58
20020103/DETHOU,0020100446,"THURSDAY, JANUARY 3, 2002",1198.0,Scott,Wall,60
20020103/DETHOU,0020100446,"THURSDAY, JANUARY 3, 2002",1192.0,Bennett,Salvatore,15
20020104/PHXLAL,0020100456,"FRIDAY, JANUARY 4, 2002",1199.0,Tom,Washington,49
20020104/PHXLAL,0020100456,"FRIDAY, JANUARY 4, 2002",1174.0,Ken,Mauer,41
20020104/PHXLAL,0020100456,"FRIDAY, JANUARY 4, 2002",1144.0,Ted,Bernhardt,16
20020112/LALCHI,0020100514,"SATURDAY, JANUARY 12, 2002",1152.0,Dan,Crawford,43
20020112/LALCHI,0020100514,"SATURDAY, JANUARY 12, 2002",1195.0,Derrick,Stafford,9
20020112/LALCHI,0020100514,"SATURDAY, JANUARY 12, 2002",1193.0,Michael,Smith,38
