GAMECODE,GAME_ID,GAME_DATE,OFFICIAL_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM
20001101/DENSEA,0020000020,"WEDNESDAY, NOVEMBER 1, 2000",1185.0,Violet,Palmer,66
20001101/DENSEA,0020000020,"WEDNESDAY, NOVEMBER 1, 2000",1180.0,Jack,Nies,35
20001101/DENSEA,0020000020,"WEDNESDAY, NOVEMBER 1, 2000",1181.0,Tommy,Nunez,28
20001102/MILHOU,0020000023,"THURSDAY, NOVEMBER 2, 2000",1193.0,Michael,Smith,38
20001102/MILHOU,0020000023,"THURSDAY, NOVEMBER 2, 2000",1151.0,Sean,Corbin,33
20001102/MILHOU,0020000023,"THURSDAY, NOVEMBER 2, 2000",1142.0,Dick,Bavetta,27
20001107/NYKMIL,0020000057,"TUESDAY, NOVEMBER 7, 2000",1157.0,Terry,Durham,31
20001107/NYKMIL,0020000057,"TUESDAY, NOVEMBER 7, 2000",1199.0,Tom,Washington,49
20001107/NYKMIL,0020000057,"TUESDAY, NOVEMBER 7, 2000",1830.0,Marc,Davis,64
20001111/WASCLE,0020000089,"SATURDAY, NOVEMBER 11, 2000",1185.0,Violet,Palmer,66
20001111/WASCLE,0020000089,"SATURDAY, NOVEMBER 11, 2000",1180.0,Jack,Nies,35
20001111/WASCLE,0020000089,"SATURDAY, NOVEMBER 11, 2000",1181.0,Tommy,Nunez,28
20001111/DETIND,0020000090,"SATURDAY, NOVEMBER 11, 2000",1144.0,Ted,Bernhardt,16
20001111/DETIND,0020000090,"SATURDAY, NOVEMBER 11, 2000",1201.0,Leon,Wood,40
20001111/DETIND,0020000090,"SATURDAY, NOVEMBER 11, 2000",1158.0,Hugh,Evans,25
20001118/PORMIA,0020000136,"SATURDAY, NOVEMBER 18, 2000",1662.0,Bill,Kennedy,55
20001118/PORMIA,0020000136,"SATURDAY, NOVEMBER 18, 2000",1161.0,Joe,Forte,45
20001118/PORMIA,0020000136,"SATURDAY, NOVEMBER 18, 2000",1186.0,Blane,Reichelt,37
20001119/CHHDET,0020000146,"SUNDAY, NOVEMBER 19, 2000",1194.0,Bill,Spooner,22
20001119/CHHDET,0020000146,"SUNDAY, NOVEMBER 19, 2000",1179.0,Rodney,Mott,71
20001119/CHHDET,0020000146,"SUNDAY, NOVEMBER 19, 2000",1165.0,Luis,Grillo,8
20001120/CHHTOR,0020000149,"MONDAY, NOVEMBER 20, 2000",1148.0,James,Capers,19
20001120/CHHTOR,0020000149,"MONDAY, NOVEMBER 20, 2000",1156.0,Tim,Donaghy,21
20001120/CHHTOR,0020000149,"MONDAY, NOVEMBER 20, 2000",1144.0,Ted,Bernhardt,16
20001205/DALHOU,0020000256,"TUESDAY, DECEMBER 5, 2000",1165.0,Luis,Grillo,8
20001205/DALHOU,0020000256,"TUESDAY, DECEMBER 5, 2000",1662.0,Bill,Kennedy,55
20001205/DALHOU,0020000256,"TUESDAY, DECEMBER 5, 2000",1186.0,Blane,Reichelt,37
20001206/CLECHI,0020000265,"WEDNESDAY, DECEMBER 6, 2000",1188.0,Leroy,Richardson,51
20001206/CLECHI,0020000265,"WEDNESDAY, DECEMBER 6, 2000",1154.0,Bob,Delaney,26
20001206/CLECHI,0020000265,"WEDNESDAY, DECEMBER 6, 2000",1184.0,Ron,Olesiak,44
20001211/MINPHI,0020000299,"MONDAY, DECEMBER 11, 2000",1142.0,Dick,Bavetta,27
20001211/MINPHI,0020000299,"MONDAY, DECEMBER 11, 2000",1159.0,Kevin,Fehr,39
20001211/MINPHI,0020000299,"MONDAY, DECEMBER 11, 2000",1155.0,JB,DeRosa,14
20001214/NYKTOR,0020000322,"THURSDAY, DECEMBER 14, 2000",1148.0,James,Capers,19
20001214/NYKTOR,0020000322,"THURSDAY, DECEMBER 14, 2000",1163.0,Bernie,Fryer,7
20001214/NYKTOR,0020000322,"THURSDAY, DECEMBER 14, 2000",1661.0,Rashan,Michel,50
20001214/DENSAS,0020000323,"THURSDAY, DECEMBER 14, 2000",1830.0,Marc,Davis,64
20001214/DENSAS,0020000323,"THURSDAY, DECEMBER 14, 2000",1165.0,Luis,Grillo,8
20001214/DENSAS,0020000323,"THURSDAY, DECEMBER 14, 2000",1184.0,Ron,Olesiak,44
20001217/DALDET,0020000348,"SUNDAY, DECEMBER 17, 2000",1203.0,Mark,Wunderlich,18
20001217/DALDET,0020000348,"SUNDAY, DECEMBER 17, 2000",1179.0,Rodney,Mott,71
20001217/DALDET,0020000348,"SUNDAY, DECEMBER 17, 2000",1165.0,Luis,Grillo,8
20001220/WASVAN,0020000369,"WEDNESDAY, DECEMBER 20, 2000",1204.0,Derek,Richardson,63
20001220/WASVAN,0020000369,"WEDNESDAY, DECEMBER 20, 2000",1181.0,Tommy,Nunez,28
20001220/WASVAN,0020000369,"WEDNESDAY, DECEMBER 20, 2000",1157.0,Terry,Durham,31
20001226/HOUSAS,0020000404,"TUESDAY, DECEMBER 26, 2000",1176.0,Monty,McCutchen,58
20001226/HOUSAS,0020000404,"TUESDAY, DECEMBER 26, 2000",1161.0,Joe,Forte,45
20001226/HOUSAS,0020000404,"TUESDAY, DECEMBER 26, 2000",1186.0,Blane,Reichelt,37
20001226/PHIUTA,0020000406,"TUESDAY, DECEMBER 26, 2000",1164.0,Ron,Garretson,10
20001226/PHIUTA,0020000406,"TUESDAY, DECEMBER 26, 2000",1189.0,Phil,Robinson,70
20001226/PHIUTA,0020000406,"TUESDAY, DECEMBER 26, 2000",1148.0,James,Capers,19
20010102/BOSATL,0020000444,"TUESDAY, JANUARY 2, 2001",1190.0,Eddie,Rush,32
20010102/BOSATL,0020000444,"TUESDAY, JANUARY 2, 2001",1143.0,Gary,Benson,30
20010102/BOSATL,0020000444,"TUESDAY, JANUARY 2, 2001",1199.0,Tom,Washington,49
20010102/PHXSAC,0020000449,"TUESDAY, JANUARY 2, 2001",1184.0,Ron,Olesiak,44
20010102/PHXSAC,0020000449,"TUESDAY, JANUARY 2, 2001",1363.0,Bennie,Adams,47
20010102/PHXSAC,0020000449,"TUESDAY, JANUARY 2, 2001",1167.0,Steve,Javie,29
20010104/ORLNYK,0020000460,"THURSDAY, JANUARY 4, 2001",1151.0,Sean,Corbin,33
20010104/ORLNYK,0020000460,"THURSDAY, JANUARY 4, 2001",1159.0,Kevin,Fehr,39
20010104/ORLNYK,0020000460,"THURSDAY, JANUARY 4, 2001",1155.0,JB,DeRosa,14
20010105/INDSAC,0020000471,"FRIDAY, JANUARY 5, 2001",1166.0,Hue,Hollins,42
20010105/INDSAC,0020000471,"FRIDAY, JANUARY 5, 2001",2004.0,Courtney,Kirkland,61
20010105/INDSAC,0020000471,"FRIDAY, JANUARY 5, 2001",1192.0,Bennett,Salvatore,15
20010109/PHINJN,0020000492,"TUESDAY, JANUARY 9, 2001",1151.0,Sean,Corbin,33
20010109/PHINJN,0020000492,"TUESDAY, JANUARY 9, 2001",1155.0,JB,DeRosa,14
20010109/PHINJN,0020000492,"TUESDAY, JANUARY 9, 2001",1172.0,Jim,Kinsey,53
20010114/SEAPHX,0020000534,"SUNDAY, JANUARY 14, 2001",1146.0,Tony,Brothers,56
20010114/SEAPHX,0020000534,"SUNDAY, JANUARY 14, 2001",1168.0,David,Jones,36
20010114/SEAPHX,0020000534,"SUNDAY, JANUARY 14, 2001",1155.0,JB,DeRosa,14
20010118/DETCHI,0020000560,"THURSDAY, JANUARY 18, 2001",1147.0,Mike,Callahan,24
20010118/DETCHI,0020000560,"THURSDAY, JANUARY 18, 2001",1189.0,Phil,Robinson,70
20010118/DETCHI,0020000560,"THURSDAY, JANUARY 18, 2001",1165.0,Luis,Grillo,8
20010118/BOSLAC,0020000562,"THURSDAY, JANUARY 18, 2001",1181.0,Tommy,Nunez,28
20010118/BOSLAC,0020000562,"THURSDAY, JANUARY 18, 2001",1166.0,Hue,Hollins,42
20010118/BOSLAC,0020000562,"THURSDAY, JANUARY 18, 2001",1143.0,Gary,Benson,30
20010123/VANSAS,0020000595,"TUESDAY, JANUARY 23, 2001",1662.0,Bill,Kennedy,55
20010123/VANSAS,0020000595,"TUESDAY, JANUARY 23, 2001",1142.0,Dick,Bavetta,27
20010123/VANSAS,0020000595,"TUESDAY, JANUARY 23, 2001",1165.0,Luis,Grillo,8
20010127/PORMIN,0020000624,"SATURDAY, JANUARY 27, 2001",1825.0,Mike,Mathis,13
