OFFICIAL_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM,GAMECODE,GAME_ID,GAME_DATE
1148,James,Capers,19,20081028/CLEBOS,0020800001,"TUESDAY, OCTOBER 28, 2008"
2716,Olandis,Poole,50,20081028/CLEBOS,0020800001,"TUESDAY, OCTOBER 28, 2008"
1155,JB,DeRosa,14,20081028/CLEBOS,0020800001,"TUESDAY, OCTOBER 28, 2008"
2148,Mark,Ayotte,56,20081028/MILCHI,0020800002,"TUESDAY, OCTOBER 28, 2008"
1154,Bob,Delaney,26,20081028/MILCHI,0020800002,"TUESDAY, OCTOBER 28, 2008"
1150,Jimmy,Clark,6,20081028/MILCHI,0020800002,"TUESDAY, OCTOBER 28, 2008"
1174,Ken,Mauer,41,20081028/PORLAL,0020800003,"TUESDAY, OCTOBER 28, 2008"
2714,David,Guthrie,60,20081028/PORLAL,0020800003,"TUESDAY, OCTOBER 28, 2008"
1161,Joe,Forte,45,20081028/PORLAL,0020800003,"TUESDAY, OCTOBER 28, 2008"
1190,Eddie,Rush,32,20081029/ATLORL,0020800004,"WEDNESDAY, OCTOBER 29, 2008"
1363,Bennie,Adams,47,20081029/ATLORL,0020800004,"WEDNESDAY, OCTOBER 29, 2008"
1664,Gary,Zielinski,59,20081029/ATLORL,0020800004,"WEDNESDAY, OCTOBER 29, 2008"
1167,Steve,Javie,29,20081029/TORPHI,0020800005,"WEDNESDAY, OCTOBER 29, 2008"
201637,Haywoode,Workman,66,20081029/TORPHI,0020800005,"WEDNESDAY, OCTOBER 29, 2008"
1146,Tony,Brothers,25,20081029/TORPHI,0020800005,"WEDNESDAY, OCTOBER 29, 2008"
1195,Derrick,Stafford,9,20081029/NJNWAS,0020800006,"WEDNESDAY, OCTOBER 29, 2008"
1152,Dan,Crawford,43,20081029/NJNWAS,0020800006,"WEDNESDAY, OCTOBER 29, 2008"
200832,Curtis,Blair,74,20081029/NJNWAS,0020800006,"WEDNESDAY, OCTOBER 29, 2008"
1176,Monty,McCutchen,13,20081029/MIANYK,0020800007,"WEDNESDAY, OCTOBER 29, 2008"
1151,Sean,Corbin,33,20081029/MIANYK,0020800007,"WEDNESDAY, OCTOBER 29, 2008"
1184,Ron,Olesiak,44,20081029/MIANYK,0020800007,"WEDNESDAY, OCTOBER 29, 2008"
2530,Ed,Malloy,73,20081029/INDDET,0020800008,"WEDNESDAY, OCTOBER 29, 2008"
2715,Eric,Lewis,42,20081029/INDDET,0020800008,"WEDNESDAY, OCTOBER 29, 2008"
1142,Dick,Bavetta,27,20081029/INDDET,0020800008,"WEDNESDAY, OCTOBER 29, 2008"
1147,Mike,Callahan,24,20081029/SACMIN,0020800009,"WEDNESDAY, OCTOBER 29, 2008"
1830,Marc,Davis,34,20081029/SACMIN,0020800009,"WEDNESDAY, OCTOBER 29, 2008"
1159,Kevin,Fehr,39,20081029/SACMIN,0020800009,"WEDNESDAY, OCTOBER 29, 2008"
2002,Derrick,Collins,54,20081029/MILOKC,0020800010,"WEDNESDAY, OCTOBER 29, 2008"
1168,David,Jones,36,20081029/MILOKC,0020800010,"WEDNESDAY, OCTOBER 29, 2008"
1203,Mark,Wunderlich,18,20081029/MILOKC,0020800010,"WEDNESDAY, OCTOBER 29, 2008"
1192,Bennett,Salvatore,15,20081029/PHXSAS,0020800011,"WEDNESDAY, OCTOBER 29, 2008"
1185,Violet,Palmer,12,20081029/PHXSAS,0020800011,"WEDNESDAY, OCTOBER 29, 2008"
1165,Luis,Grillo,8,20081029/PHXSAS,0020800011,"WEDNESDAY, OCTOBER 29, 2008"
1164,Ron,Garretson,10,20081029/MEMHOU,0020800012,"WEDNESDAY, OCTOBER 29, 2008"
2004,Courtney,Kirkland,61,20081029/MEMHOU,0020800012,"WEDNESDAY, OCTOBER 29, 2008"
101284,John,Goble,67,20081029/MEMHOU,0020800012,"WEDNESDAY, OCTOBER 29, 2008"
2001,Jason,Phillips,23,20081029/DENUTA,0020800013,"WEDNESDAY, OCTOBER 29, 2008"
2529,Tony,Brown,30,20081029/DENUTA,0020800013,"WEDNESDAY, OCTOBER 29, 2008"
1200,Greg,Willard,57,20081029/DENUTA,0020800013,"WEDNESDAY, OCTOBER 29, 2008"
1153,Joe,Crawford,17,20081029/NOHGSW,0020800014,"WEDNESDAY, OCTOBER 29, 2008"
1193,Michael,Smith,38,20081029/NOHGSW,0020800014,"WEDNESDAY, OCTOBER 29, 2008"
1180,Jack,Nies,35,20081029/NOHGSW,0020800014,"WEDNESDAY, OCTOBER 29, 2008"
1194,Bill,Spooner,22,20081029/LALLAC,0020800015,"WEDNESDAY, OCTOBER 29, 2008"
1179,Rodney,Mott,71,20081029/LALLAC,0020800015,"WEDNESDAY, OCTOBER 29, 2008"
1204,Derek,Richardson,63,20081029/LALLAC,0020800015,"WEDNESDAY, OCTOBER 29, 2008"
2148,Mark,Ayotte,56,20081030/CHACLE,0020800016,"THURSDAY, OCTOBER 30, 2008"
1154,Bob,Delaney,26,20081030/CHACLE,0020800016,"THURSDAY, OCTOBER 30, 2008"
1150,Jimmy,Clark,6,20081030/CHACLE,0020800016,"THURSDAY, OCTOBER 30, 2008"
1199,Tom,Washington,49,20081030/HOUDAL,0020800017,"THURSDAY, OCTOBER 30, 2008"
1662,Bill,Kennedy,55,20081030/HOUDAL,0020800017,"THURSDAY, OCTOBER 30, 2008"
2534,Zach,Zarba,58,20081030/HOUDAL,0020800017,"THURSDAY, OCTOBER 30, 2008"
1174,Ken,Mauer,41,20081030/NOHPHX,0020800018,"THURSDAY, OCTOBER 30, 2008"
2714,David,Guthrie,60,20081030/NOHPHX,0020800018,"THURSDAY, OCTOBER 30, 2008"
1161,Joe,Forte,45,20081030/NOHPHX,0020800018,"THURSDAY, OCTOBER 30, 2008"
1168,David,Jones,36,20081031/NYKPHI,0020800019,"FRIDAY, OCTOBER 31, 2008"
2005,Matt,Boland,46,20081031/NYKPHI,0020800019,"FRIDAY, OCTOBER 31, 2008"
1203,Mark,Wunderlich,18,20081031/NYKPHI,0020800019,"FRIDAY, OCTOBER 31, 2008"
