FIRST_NAME,JERSEY_NUM,LAST_NAME,OFFICIAL_ID,GAMECODE,GAME_ID,GAME_DATE
Scott,48  ,Foster,1162,20181016/PHIBOS,0021800001,"TUESDAY, OCTOBER 16, 2018"
Ron,10  ,Garretson,1164,20181016/PHIBOS,0021800001,"TUESDAY, OCTOBER 16, 2018"
Dedric,21  ,Taylor,203592,20181016/PHIBOS,0021800001,"TUESDAY, OCTOBER 16, 2018"
Zach,15  ,Zarba,2534,20181016/OKCGSW,0021800002,"TUESDAY, OCTOBER 16, 2018"
Brian,45  ,Forte,101283,20181016/OKCGSW,0021800002,"TUESDAY, OCTOBER 16, 2018"
Gediminas,50  ,Petraitis,204058,20181016/OKCGSW,0021800002,"TUESDAY, OCTOBER 16, 2018"
Sean,33  ,Corbin,1151,20181017/MILCHA,0021800003,"WEDNESDAY, OCTOBER 17, 2018"
Scott,48  ,Foster,1162,20181017/MILCHA,0021800003,"WEDNESDAY, OCTOBER 17, 2018"
Leroy,20  ,Richardson,1188,20181017/MILCHA,0021800003,"WEDNESDAY, OCTOBER 17, 2018"
Rodney,71  ,Mott,1179,20181017/BKNDET,0021800004,"WEDNESDAY, OCTOBER 17, 2018"
Eric,37  ,Dalen,200833,20181017/BKNDET,0021800004,"WEDNESDAY, OCTOBER 17, 2018"
Karl,77  ,Lane,202026,20181017/BKNDET,0021800004,"WEDNESDAY, OCTOBER 17, 2018"
Tony,25  ,Brothers,1146,20181017/MEMIND,0021800005,"WEDNESDAY, OCTOBER 17, 2018"
Ben,46  ,Taylor,202049,20181017/MEMIND,0021800005,"WEDNESDAY, OCTOBER 17, 2018"
Justin,64  ,Van Duyne,203593,20181017/MEMIND,0021800005,"WEDNESDAY, OCTOBER 17, 2018"
Tom,49  ,Washington,1199,20181017/MIAORL,0021800006,"WEDNESDAY, OCTOBER 17, 2018"
Matt,18  ,Boland,2005,20181017/MIAORL,0021800006,"WEDNESDAY, OCTOBER 17, 2018"
Ray,54  ,Acosta,1626300,20181017/MIAORL,0021800006,"WEDNESDAY, OCTOBER 17, 2018"
Ron,10  ,Garretson,1164,20181017/ATLNYK,0021800007,"WEDNESDAY, OCTOBER 17, 2018"
John,30  ,Goble,101284,20181017/ATLNYK,0021800007,"WEDNESDAY, OCTOBER 17, 2018"
Marat,32  ,Kogut,201245,20181017/ATLNYK,0021800007,"WEDNESDAY, OCTOBER 17, 2018"
Mark,56  ,Ayotte,2148,20181017/CLETOR,0021800008,"WEDNESDAY, OCTOBER 17, 2018"
Kane,5   ,Fitzgerald,201640,20181017/CLETOR,0021800008,"WEDNESDAY, OCTOBER 17, 2018"
Brett,44  ,Nansel,202035,20181017/CLETOR,0021800008,"WEDNESDAY, OCTOBER 17, 2018"
Eric,42  ,Lewis,2715,20181017/NOPHOU,0021800009,"WEDNESDAY, OCTOBER 17, 2018"
Curtis,74  ,Blair,200832,20181017/NOPHOU,0021800009,"WEDNESDAY, OCTOBER 17, 2018"
Kevin,34  ,Cutler,201246,20181017/NOPHOU,0021800009,"WEDNESDAY, OCTOBER 17, 2018"
Tony,6   ,Brown,2529,20181017/MINSAS,0021800010,"WEDNESDAY, OCTOBER 17, 2018"
Tre,73  ,Maddox,202027,20181017/MINSAS,0021800010,"WEDNESDAY, OCTOBER 17, 2018"
Mitchell,27  ,Ervin,203591,20181017/MINSAS,0021800010,"WEDNESDAY, OCTOBER 17, 2018"
Marc,8   ,Davis,1830,20181017/UTASAC,0021800011,"WEDNESDAY, OCTOBER 17, 2018"
J.T.,72  ,Orr,202037,20181017/UTASAC,0021800011,"WEDNESDAY, OCTOBER 17, 2018"
CJ,12  ,Washington,202056,20181017/UTASAC,0021800011,"WEDNESDAY, OCTOBER 17, 2018"
Derek,63  ,Richardson,1204,20181017/DENLAC,0021800012,"WEDNESDAY, OCTOBER 17, 2018"
Jason,23  ,Phillips,2001,20181017/DENLAC,0021800012,"WEDNESDAY, OCTOBER 17, 2018"
Scott,52  ,Twardoski,202053,20181017/DENLAC,0021800012,"WEDNESDAY, OCTOBER 17, 2018"
Mike,24  ,Callahan,1147,20181017/DALPHX,0021800013,"WEDNESDAY, OCTOBER 17, 2018"
Leon,40  ,Wood,1201,20181017/DALPHX,0021800013,"WEDNESDAY, OCTOBER 17, 2018"
